"participant","1","2","3","4","5","6","7","8","9","10","11","13","14"
"Sharon Needles","WIN","HIGH","WIN","SAFE","HIGH","SAFE","HIGH","BTM2","WIN","LOW","WIN","SAFE","Winner"
"Chad Michaels","SAFE","WIN","HIGH","HIGH","WIN","SAFE","SAFE","SAFE","HIGH","HIGH","BTM2","SAFE","Runner-up"
"Phi Phi O'Hara","SAFE","SAFE","SAFE","HIGH","LOW","HIGH","WIN","BTM2","LOW","WIN","HIGH","SAFE","Runner-up"
"Latrice Royale","SAFE","SAFE","SAFE","WIN","SAFE","HIGH","LOW","WIN","BTM2","BTM2","ELIM",,"Miss C"
"Kenya Michaels","LOW","SAFE","HIGH","LOW","ELIM",,,,,"ELIM",,,"Guest"
"DiDa Ritz","SAFE","LOW","BTM2","SAFE","SAFE","LOW","SAFE","SAFE","ELIM",,,,"Guest"
"Willam","SAFE","SAFE","SAFE","HIGH","HIGH","WIN","BTM2","DISQ",,,,,"Guest"
"Jiggly Caliente","BTM2","SAFE","SAFE","HIGH","SAFE","BTM2","ELIM",,,,,,"Guest"
"Milan","SAFE","HIGH","SAFE","BTM2","BTM2","ELIM",,,,,,,"Guest"
"Madame LaQueer","SAFE","WIN","LOW","ELIM",,,,,,,,,"Guest"
"The Princess","HIGH","BTM2","ELIM",,,,,,,,,,"Guest"
"Lashauwn Beyond","HIGH","ELIM",,,,,,,,,,,"Guest"
"Alisa Summers","ELIM",,,,,,,,,,,,"Guest"
